Country,Product,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 Provisional
Australia,Fossil fuels,41201,43730,52662,55974,58406,60843,68911,71507,74856,81907,87728,90301,92954,98977,105542,110412,117456,123265,131817,139389,139946,143107,146016,150127,156174,160913,165092,178571,186229,192274,206103,209504,201967,209530,208244,211085,221966,223347,229493,230893,227433,224509,216511,211256,217871,219115,217564,216366,212002,205247.857
Australia,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Renewable sources,11844,11853,11749,13629,15173,15549,13576,14287,15787,13327,14480,14112,12563,12527,14118,14962,14067,15029,15265,14898,16590,16019,17220,17042,16631,16362,17507,16448,17398,17590,18162,17874,18619,18683,20103,21642,21013,19726,18602,21721,26273,26318,32704,36112,33423,37151,40206.632,44415,51658,59544.717
Australia,Total,53045,55583,64411,69603,73579,76392,82487,85794,90643,95234,102208,104413,105517,111504,119660,125374,131523,138294,147082,154287,156536,159126,163236,167169,172805,177275,182599,195019,203627,209864,224265,227378,220586,228213,228347,232727,242979,243073,248095,252614,253706,250827,249215,247368,251294,256266,257770.632,260781,263660,264792.574
Austria,Fossil fuels,11752,11939,11964,11005,11242,14561,12540,12875,12267,12551,10889,10848,10767,11965,11839,11544,12712,11244,12727,16607,17483,13718,13261,15156,16202,17549,17714,16784,17402,16292,18597,18570,22537,21882,23157.554,21062.482,19163.6,19377.72,18512.649,22328.459,20786.993,16682.114,13470.778,10854.586,13587.4,13457.412,15680.532,14253.554,15675.255,13036.731
Austria,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Renewable sources,16450,16986,18952,22400,23691,20273,24788,24802,27930,29049,31347,31371,31165,29674,31873,32395,36933,36853,36391,32635,32649,36154,38049,36896,38904,35790,37819,39031,42348,43435,42232,41895,35251,39627,40884.587,40668.768,43177.482,44530.798,47177.243,44998.337,40908.166,51327.827,50491.402,50186.269,47582.04,51082.238,51055.166,50053.507,54380.114,55423.574
Austria,Total,28202,28925,30916,33405,34933,34834,37328,37677,40197,41600,42246,42235,41972,41663,43742,43977,49688,48149,49155,49296,50181,49939,51371,52111,55178,53574,55685,55910,59916,59874,61067,60706,58097,61948,64489.9,62302.263,62939.301,64514.998,66314.835,67933.029,62270.095,68709.258,64595.108,61612.475,61864.75,65271.033,67442.847,65036.652,70856.253,69210.367
Belgium,Fossil fuels,33103,36869,40252,41818,33768,36921,34459,37563,39949,39964,36520,33719,27208,25366,21057,17407,19393,20478,24707,26574,27281,26735,27005,29479,30771,30506,29241,34506,32794,32804,30208,31500,34224,34634,35082,33615,34528,32287,35747,38518.4,31169.4,29369.5,26230.7,23817.6,26345.7,24950.7,25619.5,26490.1,28101.1,28443.1
Belgium,Nuclear,0,11,76,148,6784,10036,11939,12513,11407,12549,12859,15664,24106,27743,34601,39394,41967,43102,41217,42722,42861,43456,41927,40624,41356,43336,47408,46165,49017,48157,46349,47360,47379,47312,47595,46645,48227,45568,47222,47944,48234,40295,42644,33703,26103,43523,42226.8,28597,43523.6,34434.7
