Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,Category,Value
Algeria,2003,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.265
Algeria,2004,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.251
Algeria,2005,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.5553
Algeria,2006,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.2176
Algeria,2007,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.226
Algeria,2008,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.283
Algeria,2009,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.342
Algeria,2010,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.173
Algeria,2011,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.378
Algeria,2012,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.389
Algeria,2013,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.099
Algeria,2014,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.193
Algeria,2015,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.145
Algeria,2016,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.072
Algeria,2017,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.056
Algeria,2018,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.117
Algeria,2019,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.152
Algeria,2020,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.05
Algeria,1965,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_twh,0
Algeria,1966,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_twh,0
Algeria,1967,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_twh,0
